楼盘名,楼盘地址,所在地区,房子户型,房子面积,房子价格
金地壹阅府,[ 番禺 华南 ] 万博商务区兴南大道与万博二路交汇处,番禺,3室/4室,建筑面积：130-180㎡,65000
碧桂园藏珑府长盛汇,[ 番禺 华南 ] G105与南大路交汇处（长隆野生动物世界...,番禺,商业,建筑面积：33-66㎡,22000
藏珑府,[ 番禺 华南 ] 番禺区G105与南大路交汇处（长隆野生动...,番禺,2室/3室/8室/别墅,建筑面积：90-167㎡,44000
珠江铂世湾,[ 番禺 华南 ] 万博华南新城高尔夫东侧,番禺,3室/4室/5室,建筑面积：94-139㎡,45000
中海左岸澜庭,[ 番禺 亚运新城 ] 亚运大道华侨城旁,番禺,2室,建筑面积：84-91㎡,30000
电建地产洺悦玉府,[ 番禺 市桥 ] 禺山西路与景观大道交汇处大夫山森林公...,番禺,3室/4室,建筑面积：105-125㎡,35000
广州大华紫悦府,[ 番禺 市桥 ] 禺山西路海伦堡创意园旁,番禺,3室/4室,建筑面积：97-125㎡,35000
碧桂园星荟,[ 番禺 大学城 ] 化龙镇翠湖工业大道11号,番禺,商业,建筑面积：38-1571.1㎡,18500
敏捷富瑞公馆,[ 番禺 市桥 ] 金业街1号,番禺,商业,建筑面积：54-2347㎡,18000
万科世博汇,[ 番禺 广州南站 ] 韦海路,番禺,商业,建筑面积：28-45㎡,26000
广州碧桂园樾时光,[ 番禺 洛溪 ] 广州碧桂园（地铁2号线南浦站旁）,番禺,2室/3室/4室,建筑面积：100-143㎡,37000
龙光天瀛,[ 番禺 市桥 ] 大夫山下景观大道东侧,番禺,2室/3室,建筑面积：89-117㎡,35000
璞悦台,[ 番禺 市桥 ] 市新路,番禺,3室/4室,建筑面积：102-128㎡,
加富花园（二期）天悦,[ 番禺 市桥 ] 石碁文化广场旁,番禺,1室/2室/3室,建筑面积：51-118㎡,24000
臻尚苑商用,[ 番禺 广州南站 ] 石洲中路,番禺,,建筑面积：64304㎡,25000
五矿万樾台,[ 番禺 华南 ] 兴南大道723号,番禺,,建筑面积：28760㎡,1600
保利悦公馆,[ 番禺 华南 ] 东环街道（万博金山谷旁）,番禺,,建筑面积：350000㎡,
智联汽车小镇,[ 番禺 亚运新城 ] 金山大道东龙丰路段,番禺,2室/3室,建筑面积：71-94㎡,
凯德·山海连城,[ 番禺 亚运新城 ] 连海路（南大干线旁）,番禺,2室/3室/4室/别墅,建筑面积：75-337㎡,25000
南天名苑,[ 番禺 洛溪 ] 环岛北路8号,番禺,4室/5室,建筑面积：217-365㎡,80000
天颐华府,[ 番禺 市桥 ] 大龙街富怡路罗家村段6号,番禺,别墅,建筑面积：258-390㎡,1800
金海岸花园,[ 番禺 亚运新城 ] 金海岸大道,番禺,1室/2室/3室/4室/5室/8室,建筑面积：77-469㎡,54000
信业悦都荟,[ 番禺 华南 ] 番禺大道北822号,番禺,商业,建筑面积：43-62㎡,29000
星河湾半岛,[ 番禺 洛溪 ] 沙溪大道480号,番禺,4室/5室,建筑面积：254-682㎡,88000
敏捷御峰国际,[ 番禺 华南 ] 大石105国道敏捷御峰国际销售中心,番禺,商业,建筑面积：30-74㎡,14800
珑翠,[ 番禺 华南 ] 市广路,番禺,3室/4室/5室,建筑面积：124-250㎡,38000
金龙城,[ 番禺 亚运新城 ] 亚运大道,番禺,商业,建筑面积：40-92㎡,18000
臻尚苑,[ 番禺 广州南站 ] 石洲中路,番禺,2室/3室,建筑面积：95-118㎡,42000
新城市星海42,[ 番禺 市桥 ] 坑口路123号（星海公园旁）,番禺,别墅,建筑面积：422-612㎡,800
尚上名筑,[ 番禺 亚运新城 ] 南环路132号,番禺,2室/3室/别墅,建筑面积：79-223㎡,980
四海城商业广场,[ 番禺 华南 ] 番禺区南村镇汉溪大道东390号,番禺,商业,建筑面积：2155㎡,36000
祈福缤纷汇,[ 番禺 华南 ] 福华路24号,番禺,1室/2室/3室/4室,建筑面积：41-169㎡,34000
粤海广场,[ 番禺 华南 ] 广州市番禺区万博商务区（汉溪大道与万...,番禺,商业,建筑面积：55㎡,40000
招商金山谷意库,[ 番禺 华南 ] 东艺路招商金山谷,番禺,商业,建筑面积：1000㎡,26000
大学小筑,[ 番禺 大学城 ] 中五路159号,番禺,3室/4室/5室,建筑面积：179-440㎡,75000
大夫山尚东,[ 番禺 市桥 ] 东桥大街,番禺,2室/3室/4室,建筑面积：79-110㎡,26000
保利汉溪大都汇,[ 番禺 华南 ] 广州市番禺区地铁3号线汉溪长隆地铁站...,番禺,,建筑面积：52000㎡,36000
星尚,[ 番禺 市桥 ] 丰尚路68号,番禺,2室/3室/4室,建筑面积：83-140㎡,22000
龙沁星源,[ 番禺 市桥 ] 市桥街北桥路（原番广路）东北侧,番禺,,建筑面积：11795㎡,
时代E-park(番禺),[ 番禺 华南 ] 汉溪大道与新光快速交汇,番禺,,建筑面积：170.87-398.21㎡,
昊龙花园,[ 番禺 市桥 ] 中华大道1108号,番禺,2室/3室/4室,建筑面积：72-200㎡,31000
朗信国际,[ 番禺 市桥 ] 番禺大道北1686号 （导航搜索朗信国际...,番禺,商业,建筑面积：29-75.37㎡,
海伦堡创意园,[ 番禺 市桥 ] 禺山西路329号,番禺,,,
广晟万博城,[ 番禺 华南 ] 南村镇万博二路,番禺,商业,建筑面积：36-57㎡,36000
敏捷动漫国际,[ 番禺 华南 ] 番禺区番禺大道北动漫产业园（迎星东路...,番禺,商业,建筑面积：54-54㎡,23000
招商金山谷意库商铺,[ 番禺 华南 ] 新光快速与东艺路交汇处,番禺,,建筑面积：104053㎡,12000
东湖洲花园,[ 番禺 亚运新城 ] 傍雁路883号,番禺,3室/4室/5室,建筑面积：86-283㎡,35000
清华科技园广州创新基地,[ 番禺 亚运新城 ] 番禺石楼镇创启路63号,番禺,,建筑面积：88㎡,9500
路福联合广场,[ 番禺 广州南站 ] 汉溪大道西233号,番禺,,建筑面积：1225㎡,35000
庄士映蝶蓝湾,[ 番禺 亚运新城 ] 莲港大道126号庄士映蝶蓝湾南门,番禺,,建筑面积：450000㎡,1200
中洲公馆,[ 番禺 市桥 ] 市桥北桥路一号,番禺,商业,建筑面积：42-84㎡,20000
天睿,[ 番禺 华南 ] 石北工业路,番禺,商业,建筑面积：125㎡,23000
雄峰城,[ 番禺 华南 ] 105国道,番禺,商业,建筑面积：46-60㎡,20000
中铁诺德中心,[ 番禺 华南 ] 南村镇汉溪大道东471号,番禺,,建筑面积：117-252㎡,34000
同创誉城,[ 番禺 华南 ] 国泰路12号,番禺,商业,建筑面积：46-93㎡,
金地壹阅府商用,[ 番禺 华南 ] 万博商务区兴南大道与万博二路交汇处,番禺,,建筑面积：310㎡,1400
汇南商务中心（办公）,[ 番禺 其他 ] 南桂路,番禺,,建筑面积：25000㎡,
越秀御珑苑,[ 番禺 大学城 ] 小谷围岛大学城中八路22号,番禺,2室/3室/4室/5室,建筑面积：85-190㎡,4000
珊瑚天峰,[ 番禺 洛溪 ] 沙溪大道珊瑚湾畔,番禺,3室/5室,建筑面积：170-290㎡,26000
星晨时代豪庭,[ 番禺 市桥 ] 福景路729号（禺山高级中学南面）,番禺,3室/4室/5室,建筑面积：123.81-232.51㎡,30000
丽江如英居,[ 番禺 洛溪 ] 沿沙东路63号,番禺,3室,建筑面积：97-99㎡,
正太广场,[ 番禺 市桥 ] 禺山大道168号,番禺,2室/3室,建筑面积：78-117㎡,23000
华筑翡翠湾,[ 番禺 市桥 ] 大石街沿江东路22号,番禺,2室/3室/4室,建筑面积：73-136㎡,38000
保利红馆,[ 番禺 华南 ] 汉溪大道,番禺,,建筑面积：42793㎡,
尚轩103,[ 番禺 大学城 ] 中五路,番禺,3室/4室,建筑面积：260-266㎡,62000
富豪山庄,[ 番禺 华南 ] 东环街市广路232号,番禺,3室/4室,建筑面积：99-182㎡,
悦尚公馆,[ 番禺 华南 ] 大石街富丽商住区403号（群贤酒店旁）,番禺,1室/2室/3室,建筑面积：44-87㎡,
信基领秀公馆,[ 番禺 市桥 ] 天安科技园南门,番禺,商业,建筑面积：40-72㎡,
誉瀛新天地,[ 番禺 华南 ] 市广路238号,番禺,商业,建筑面积：47-91㎡,
万科欧泊,[ 番禺 华南 ] 南村兴南大道368号,番禺,4室,建筑面积：142-187㎡,21000
诺德名都,[ 番禺 华南 ] 兴业大道西989号,番禺,2室/3室,建筑面积：90-148㎡,17000
中环品悦,[ 番禺 华南 ] 大石街南大路263号长隆北门正对面,番禺,1室/2室/3室,建筑面积：53-99㎡,15000
金沙御苑,[ 番禺 市桥 ] 中良路32号,番禺,2室/3室,建筑面积：97-145㎡,13000
敏捷四季花园,[ 番禺 华南 ] 南大路与景华南路交汇（新月明珠西侧）,番禺,3室,建筑面积：92-120㎡,18000
越秀可逸阳光,[ 番禺 市桥 ] 南德信路与福愉路交汇处（养生广场西南...,番禺,2室/3室/4室,建筑面积：82-179㎡,
信基城,[ 番禺 华南 ] 迎宾路与南大干线南交叉口的西面,番禺,3室/4室/5室,建筑面积：113-201㎡,
富宾星悦国际,[ 番禺 市桥 ] 东环街东环路236号,番禺,商业,建筑面积：50-78㎡,
番禺君华香柏广场,[ 番禺 市桥 ] 市良路西环路交汇处,番禺,2室/3室/4室,建筑面积：78-163㎡,
金沙诚筑,[ 番禺 市桥 ] 桥南龙岐路283号,番禺,2室/3室,建筑面积：85-101㎡,
奥园城市天地,[ 番禺 华南 ] 新光快速与汉溪大道交汇处（汉溪长隆地...,番禺,商业,建筑面积：48-96㎡,
珠江怡景湾,[ 番禺 洛溪 ] 洛浦街沙溪大道榕江街3-7号（番禺大石...,番禺,2室/3室,建筑面积：86-116㎡,
雅居乐君域公馆,[ 番禺 市桥 ] 大北路中段的侨联大街,番禺,1室/2室/3室,建筑面积：29-130㎡,
南奥高尔夫酒店公寓,[ 番禺 华南 ] 汉溪大道南国奥园（三号线汉溪长隆站旁...,番禺,1室/3室,建筑面积：63.62-180㎡,
SOLO禺意湾8号,[ 番禺 华南 ] 大石镇沿江中路8号,番禺,,建筑面积：30000㎡,
奥园国际中心,[ 番禺 华南 ] 万博二路与汇智三路交汇处,番禺,,建筑面积：341318㎡,
南国国际公馆,[ 番禺 华南 ] 大石街猛涌村105国道西侧,番禺,,建筑面积：43-74㎡,
碧桂园新亿德大厦,[ 番禺 市桥 ] 市桥街东城新区盛泰路342号（番禺广场...,番禺,,建筑面积：9496㎡,25000
锦绣一方,[ 番禺 亚运新城 ] 建设路,番禺,1室/2室/3室/4室,建筑面积：44.31-145㎡,19000
碧桂园铂耀中心,[ 番禺 市桥 ] 番禺大道与东兴路交汇处（番禺广场站A...,番禺,,建筑面积：20000㎡,
中银大厦,[ 番禺 市桥 ] 清河东路338号,番禺,,,
广州亚运城国际商业街,[ 番禺 亚运新城 ] 兴亚三路与兴岭路交叉口西南100米,番禺,,建筑面积：23112㎡,
温馨里,[ 番禺 市桥 ] 市广路与东环路交汇处（市桥地铁站A出...,番禺,2室/3室,建筑面积：68-140㎡,17000
时代外滩,[ 番禺 洛溪 ] 沙窖岛东侧,番禺,4室/5室,建筑面积：168-377㎡,
敏捷伊顿公馆,[ 番禺 华南 ] 市广路（金山大道新光快速出口）,番禺,商业,建筑面积：49-95㎡,12000
招商金山谷,[ 番禺 市桥 ] 东环街东艺路81号（金山大道的南面）,番禺,2室/3室/4室/商业,建筑面积：29-210㎡,
星力时代豪庭,[ 番禺 华南 ] 东环街迎星路（星力动漫游戏产业园旁）,番禺,2室/3室/4室,建筑面积：68-132㎡,25000
越秀可逸江畔,[ 番禺 市桥 ] 南城路（番禺中学旁）,番禺,1室/2室/3室/4室/5室/商业,建筑面积：44-192㎡,
金海御苑,[ 番禺 亚运新城 ] 石岗南路9号(金海岸花园西侧、石岗南路...,番禺,3室/5室,建筑面积：135-187㎡,
柏丽星寓,[ 番禺 亚运新城 ] 石楼镇黄山路68号（保利公馆2010对面）,番禺,商业,建筑面积：51.96-81㎡,14000
时代柏林,[ 番禺 市桥 ] 福景路,番禺,3室/4室,建筑面积：97-143㎡,
海伦堡流金岁月,[ 番禺 市桥 ] 福德路223号,番禺,,建筑面积：144043㎡,33000
荔园地产中心,[ 番禺 华南 ] 万博四路（即万达广场旁）,番禺,商业,建筑面积：55-63㎡,53000
招商城市主场,[ 番禺 华南 ] 兴南大道,番禺,商业,建筑面积：39-74㎡,
We公馆,[ 番禺 华南 ] 地铁3号线大石地铁站B出口,番禺,商业,建筑面积：58-126㎡,7500
华新智汇+,[ 番禺 华南 ] 汉溪大道（万博中心）,番禺,商业,建筑面积：60-113㎡,
祈福新村活力花园2期,[ 番禺 华南 ] 广州番禺区祈福新邨,番禺,2室/3室,建筑面积：77-135㎡,20000
祈福名都,[ 番禺 华南 ] 市广路祈福新村,番禺,1室/2室/3室/4室,建筑面积：39.22-138㎡,21000
龙璟山,[ 番禺 市桥 ] 南村镇南村景山大街61号（广州雅居乐旁...,番禺,商业,建筑面积：150-344㎡,29000
信业尚誉,[ 番禺 亚运新城 ] 亚运大道198号（清河市场旁）,番禺,1室/2室,建筑面积：42-56㎡,
新城市宜家,[ 番禺 华南 ] 大石建华南路168号,番禺,1室/2室/3室,建筑面积：29.16-109㎡,
星汇文瀚,[ 番禺 大学城 ] 中山大学旁边,番禺,3室/4室,建筑面积：98-181㎡,
星汇文宇,[ 番禺 大学城 ] 中五路,番禺,2室/3室/4室,建筑面积：82-184㎡,
敏捷上城国际,[ 番禺 华南 ] 番禺大道北以东、汉溪大道以南,番禺,1室/2室/4室,建筑面积：46.49-111㎡,
时代倾城,[ 番禺 市桥 ] 七星岗公园东面，市新公路东侧,番禺,2室/3室,建筑面积：74-118㎡,
雅居乐锦官城,[ 番禺 市桥 ] 冠军城南侧（禺山高级中学斜对面）,番禺,3室/4室,建筑面积：95-145㎡,
雅居乐城南源著,[ 番禺 市桥 ] 市桥南南城路,番禺,1室/2室/3室,建筑面积：47.8-96.91㎡,
敏建锦绣世家,[ 番禺 市桥 ] 青云大道（沙湾镇政府旁）,番禺,2室/3室/4室,建筑面积：84-125㎡,
尚东尚筑,[ 番禺 亚运新城 ] 番禺区清河东路北侧（番禺客运站西行2...,番禺,3室/4室,建筑面积：91-151㎡,
盛恒家园,[ 番禺 亚运新城 ] 前锋村站对面，亚运大道北侧,番禺,2室,建筑面积：68-70㎡,12500
敏捷上品公馆,[ 番禺 华南 ] 市广路（广东书法院对面）,番禺,1室/4室,建筑面积：56.05-111.45㎡,
番禺万达广场,[ 番禺 华南 ] 迎宾大道万博中心以东，汉溪大道以北，...,番禺,1室/2室,建筑面积：50-65㎡,
敏捷领航公馆,[ 番禺 华南 ] 大石朝阳东路锦绣银湾旁,番禺,1室/3室,建筑面积：56-70㎡,
广奥友谊尚居,[ 番禺 洛溪 ] 105国道以北，如意路以东,番禺,1室/2室/3室,建筑面积：39-127㎡,
诺德名筑,[ 番禺 华南 ] 番禺大道北666号,番禺,2室/3室,建筑面积：74-102㎡,
博学公馆,[ 番禺 市桥 ] 中心城区南区福德路南侧，市龙歧路与农...,番禺,1室/2室,建筑面积：55.9-84.8㎡,
鸿禧华庭,[ 番禺 市桥 ] 市桥街光明北路283号,番禺,1室/2室/3室,建筑面积：58.4-120㎡,
奥园养生广场,[ 番禺 市桥 ] 桥南街中心城区，毗邻中心医院北侧,番禺,1室/2室,建筑面积：35-80㎡,
环球一英里,[ 番禺 华南 ] 兴泰路296号,番禺,,建筑面积：200000㎡,
敏捷时空壹号,[ 番禺 广州南站 ] 汉溪大道与石山大道交汇处（西出发平台...,番禺,1室/4室,建筑面积：43-108㎡,
金融街·融穗澜湾,[ 番禺 市桥 ] 盛泰路与长提东路交界，黄沙岛花园北面,番禺,,建筑面积：896000㎡,
保利大都汇,[ 番禺 华南 ] 汉溪大道与新光快速交汇处,番禺,,建筑面积：227884㎡,40000
新月明珠花园二期,[ 番禺 华南 ] 大石街景华南路30号,番禺,,建筑面积：35887㎡,
番禺市桥南,[ 番禺 市桥 ] 区桥南街南区公园南侧,番禺,,,
奥园莲峰圣境,[ 番禺 亚运新城 ] 莲江路,番禺,4室/5室,建筑面积：170-320㎡,16000
金沙丽水,[ 番禺 市桥 ] 沙湾路128号,番禺,3室,建筑面积：87-90㎡,112
雅居乐剑桥郡,[ 番禺 华南 ] 南村镇草堂村地段,番禺,3室/4室,建筑面积：100-345㎡,27000
华南新城,[ 番禺 华南 ] 番禺南大路168号(华南快速干线番禺大桥...,番禺,2室/3室/4室,建筑面积：92-172㎡,
锦绣半岛,[ 番禺 洛溪 ] 洛浦街南浦环岛西路121号,番禺,2室/3室/4室,建筑面积：77-164㎡,24000
敏捷金月湾,[ 番禺 洛溪 ] 南浦大道（东新高速南浦站出口）,番禺,3室/4室,建筑面积：91-168㎡,24000
莲花山碧桂园,[ 番禺 亚运新城 ] 莲花山景区旁（莲花山高尔夫球会对面）,番禺,4室/5室,建筑面积：280-380㎡,
东怡新地,[ 番禺 市桥 ] 亚运大道与清河东路接驳口（地铁番禺广...,番禺,2室/3室/4室,建筑面积：75-141㎡,38000
海印总统公馆,[ 番禺 华南 ] 南村镇番禺大道北383号,番禺,商业,建筑面积：65-107㎡,18000
丽水蓝天,[ 番禺 华南 ] 大石街朝阳东路,番禺,2室/3室,建筑面积：83-125㎡,24000
富丽居,[ 番禺 华南 ] 大石街石化工业路22号（大石中心小学旁...,番禺,1室/2室,建筑面积：51-119㎡,28000
尚东数字居,[ 番禺 华南 ] 迎宾路,番禺,商业,建筑面积：50-70㎡,380
大学城馨园,[ 番禺 大学城 ] 中五路63号（广州大学城中环西路和中五...,番禺,3室/4室,建筑面积：136-262.5㎡,
君华御府,[ 番禺 市桥 ] 德贤路,番禺,3室/4室,建筑面积：69.7-75.22㎡,133
奥园越时代,[ 番禺 广州南站 ] 汉溪大道与石兴大道交汇处,番禺,商业,建筑面积：49-53㎡,19000
星河湾盛荟,[ 番禺 华南 ] 番禺区迎宾路沙溪大桥南岸,番禺,4室,建筑面积：270-342㎡,
星誉花园,[ 番禺 市桥 ] 番禺区市桥新光快线入口（儿童公园西侧,番禺,2室/3室/5室,建筑面积：72-133㎡,
保利香槟国际,[ 番禺 市桥 ] 市良路与南城路交界处侧地块,番禺,1室/3室/4室,建筑面积：50-143.95㎡,
柏丽甜果公馆,[ 番禺 市桥 ] 丽骏路22号,番禺,2室/3室,建筑面积：55-83㎡,
广州雅居乐花园,[ 番禺 华南 ] 兴南大道398号广州雅居乐花园,番禺,2室/3室/4室,建筑面积：75-165㎡,
鑫隆世家,[ 番禺 亚运新城 ] 石楼镇黄东环路123号,番禺,3室/4室,建筑面积：78.8-129.74㎡,
雅居乐七里海,[ 番禺 亚运新城 ] 莲港大道南边,番禺,3室/4室,建筑面积：99-135㎡,
基盛水韵蓝湾,[ 番禺 市桥 ] 番禺大道沙湾大桥收费站东侧,番禺,别墅,建筑面积：414-450㎡,
雍逸华庭,[ 番禺 市桥 ] 南庭路232号,番禺,4室,建筑面积：160-161㎡,
长隆旅游生态城,[ 番禺 华南 ] 万博商圈,番禺,3室/4室/5室,建筑面积：125.87-250.5㎡,
瀚御轩,[ 番禺 亚运新城 ] 龙基中路37号(福乐多超市后面),番禺,,建筑面积：22499㎡,
海印星玥,[ 番禺 华南 ] 番禺大道北383号,番禺,,建筑面积：215818㎡,
上轩,[ 番禺 市桥 ] 捷进中路1、3号,番禺,,建筑面积：19093㎡,
石楼碧桂园项目,[ 番禺 亚运新城 ] 番禺石楼镇大岭村地段,番禺,,建筑面积：168012㎡,
敏捷海大大厦,[ 番禺 华南 ] 兴南大道及万博四路交汇处,番禺,,建筑面积：48000㎡,
中建·映花悦府,[ 花都 新机场 ] 广东省广州市花都区工业大道南,花都,2室/3室,建筑面积：62-89㎡,
合和新城,[ 花都 新机场 ] 迎宾大道3号,花都,2室/3室/4室/5室,建筑面积：60-170㎡,23000
合景保利·香樾四季花园,[ 花都 新机场 ] 广州花都秀全中学旁,花都,3室,建筑面积：87-98㎡,
美林湖・悦美小城,[ 花都 狮岭 ] 清远市清城区石角镇石角社区美林湖路3...,花都,3室/别墅,建筑面积：89-193㎡,6999
自由人花园,[ 花都 新机场 ] 广花路,花都,3室/4室,建筑面积：108-218㎡,25000
朗逸雅居,[ 花都 狮岭 ] 宝峰南路15号,花都,2室/3室/5室,建筑面积：77.4-187㎡,10800
广州融创文旅城,[ 花都 区府 ] 广州市花都区平步大道与曙光路交汇处,花都,3室/4室,建筑面积：88-143㎡,25000
碧桂园假日半岛,[ 花都 狮岭 ] 山前旅游大道碧桂园假日半岛酒店旁,花都,3室/4室,建筑面积：80-124㎡,9500
金融街花溪小镇,[ 花都 新机场 ] 花都大道东228号,花都,3室/4室/5室,建筑面积：92-130㎡,14000
越秀滨湖臻品系,[ 花都 区府 ] 凤凰南路（国光2025PARK北侧）,花都,3室/4室,建筑面积：96-147㎡,28000
里城樾公馆,[ 花都 区府 ] 建设北路樾北街1号（一汽奔腾4S店旁）,花都,2室/3室,建筑面积：97-107㎡,21000
奥园誉湖湾,[ 花都 新机场 ] 花都-滨水新城,花都,3室/4室,建筑面积：105-140㎡,28500
碧桂园泊岸,[ 花都 狮岭 ] 广州市花都区狮岭大道东12号,花都,2室/3室/4室,建筑面积：75-122㎡,13800
时代云港,[ 花都 新机场 ] 空港经济圈镜湖大道南,花都,商业,建筑面积：63㎡,16000
阳光城兰园·翡澜花园,[ 花都 区府 ] 花都区凤凰南路汇丰水产市场B栋喜盟国...,花都,3室/4室,建筑面积：90-122㎡,26500
华润置地路劲金茂桐悦,[ 花都 新机场 ] 广州市花都区凤凰南路（云峰大酒店旁）,花都,,建筑面积：163075㎡,240
天马河公馆,[ 花都 区府 ] 望亭路,花都,3室/4室,建筑面积：92-180㎡,
祈福万景峰,[ 花都 区府 ] 新街大道中,花都,2室/3室/4室,建筑面积：58-148㎡,19000
南驰都湖国际,[ 花都 区府 ] 新华路96号（花都湖公园旁）,花都,2室/3室/4室,建筑面积：83-163㎡,26500
路劲天隽峰,[ 花都 区府 ] 宝华路,花都,4室/5室/6室,建筑面积：125-225㎡,26000
远洋芙蓉墅,[ 花都 狮岭 ] 山前旅游大道,花都,别墅,建筑面积：145-196㎡,26000
御华园,[ 花都 狮岭 ] 狮岭大道东1号,花都,2室/3室/4室,建筑面积：81-144㎡,16000
嘉汇城,[ 花都 新机场 ] 广花路东镜段（广州邮件中心东侧）,花都,2室/3室/4室/5室,建筑面积：76.94-244㎡,18600
广州国际空港中心,[ 花都 新机场 ] 清塘路97号（地铁清塘站B出口）,花都,商业,建筑面积：25-60㎡,14000
远洋·2025PARK,[ 花都 新机场 ] 广州市花都区凤凰南路56号,花都,,建筑面积：470000㎡,
时代紫林,[ 花都 狮岭 ] 芙蓉大道东侧,花都,2室/3室,建筑面积：78-106㎡,18000
新力荔红花园,[ 花都 区府 ] 北站新城荔红北路8号,花都,3室/别墅,建筑面积：95-149㎡,209
兰园·凤翎台,[ 花都 区府 ] 凤凰南路,花都,3室/4室,建筑面积：85-115㎡,
碧桂园星港国际,[ 花都 区府 ] 迎宾大道（地铁莲塘站B出口）,花都,商业,建筑面积：50-110㎡,14000
美林湖,[ 花都 狮岭 ] 山前大道,花都,1室/2室/3室/4室/5室/别墅,建筑面积：70-377㎡,7888
南华时代城,[ 花都 区府 ] 工业大道18号,花都,2室/3室/4室,建筑面积：85-138㎡,22000
班芙小镇,[ 花都 狮岭 ] 建设北路,花都,3室/4室/5室,建筑面积：92-156㎡,14000
祈福聚龙堡,[ 花都 狮岭 ] 菊花石大道9号,花都,2室/3室,建筑面积：78-90㎡,15000
东方文德森岛湖,[ 花都 狮岭 ] 狮岭大道东63号,花都,3室,建筑面积：91-107㎡,19500
荔园悦享花醍,[ 花都 区府 ] 永祥路,花都,2室/3室,建筑面积：75-120㎡,
元邦山清水秀,[ 花都 狮岭 ] 山前大道1242号,花都,2室/3室/4室/别墅,建筑面积：81-1020㎡,12800
保利国际金融中心（花都）,[ 花都 区府 ] 花都三东大道西与天贵北路交汇处,花都,,建筑面积：518387㎡,21000
花悦台,[ 花都 狮岭 ] 国际皮具城狮岭大道金狮三街,花都,2室/3室,建筑面积：67-93㎡,12000
名荟公馆,[ 花都 区府 ] 荔红南路2号,花都,1室,建筑面积：47㎡,18000
信达珺悦蓝庭,[ 花都 新机场 ] 花都大道·巴江明珠公园旁,花都,,建筑面积：267000㎡,
富力环贸中心,[ 花都 狮岭 ] 平步大道与狮岭大道交汇处（广清高速海...,花都,,建筑面积：2089㎡,25000
富力金港城,[ 花都 新机场 ] 金谷北路,花都,,建筑面积：73.71-208㎡,12055
嘉云汇,[ 花都 新机场 ] 花都区广花快速路，邮件处理中心西侧,花都,,建筑面积：580000㎡,
尚品雅居,[ 花都 区府 ] 学府路,花都,2室/3室,建筑面积：73-122㎡,15000
花都迎宾广场,[ 花都 区府 ] 三东大道与公益路交汇处北侧,花都,,建筑面积：153000㎡,
雅宝新城,[ 花都 狮岭 ] 花都大道中131号,花都,1室/2室/3室/4室,建筑面积：58-195㎡,20000
奥园翡翠湖郡,[ 花都 区府 ] 广花路以东、花都湖以南、三向东路以北,花都,,建筑面积：93407㎡,
祈福黄金海岸,[ 花都 区府 ] 培正大道,花都,别墅,建筑面积：143-631.6㎡,10000
卓粤卓雅名苑,[ 花都 区府 ] 南石西路3号,花都,2室/3室,建筑面积：82-130㎡,18000
时代康桥,[ 花都 狮岭 ] 金狮大道西20号,花都,2室/3室/4室/5室/6室,建筑面积：81-357.8㎡,11000
森悦华庭,[ 花都 区府 ] 环湖路10号,花都,3室,建筑面积：108-125㎡,24800
广州颐和盛世,[ 花都 新机场 ] 花都佛一环北线46出口,花都,3室/4室,建筑面积：95.12-180㎡,12000
绿地新里缇香公馆,[ 花都 区府 ] 建设北路,花都,1室/2室/3室/4室,建筑面积：59-180㎡,20000
嘉都汇,[ 花都 区府 ] 迎宾大道,花都,2室/3室/4室,建筑面积：86-184㎡,28000
广州融创文旅城商铺,[ 花都 区府 ] 平步大道与曙光路交汇处,花都,,建筑面积：40-60㎡,52000
花都颐和山庄,[ 花都 新机场 ] 山前大道,花都,2室/3室/4室,建筑面积：90-200㎡,12000
嘉美小镇,[ 花都 狮岭 ] 省道S253,花都,1室/2室/3室,建筑面积：57.25-105㎡,9000
玖珑湖,[ 花都 新机场 ] 山前旅游大道,花都,别墅,建筑面积：50.09-1750㎡,22000
钻石商务大厦,[ 花都 新机场 ] 公益路23号,花都,,,
桃花源,[ 花都 新机场 ] 山前旅游大道,花都,别墅,建筑面积：90-636㎡,23000
锦东花园,[ 花都 区府 ] 紫薇路,花都,2室/3室/4室,建筑面积：95-222㎡,29000
豪利花园,[ 花都 新机场 ] 镜湖大道18号,花都,2室/3室,建筑面积：82.84-109.96㎡,24000
清水蓝湾,[ 花都 新机场 ] 溪河西路7号,花都,3室,建筑面积：118-120㎡,15000
保利高尔夫郡,[ 花都 区府 ] 岭东路95-99号,花都,商业,建筑面积：47.4-84.2㎡,
嘉爵园,[ 花都 区府 ] 建设北路217号,花都,2室/3室/别墅,建筑面积：108.52-449㎡,750
嘉华广场,[ 花都 区府 ] 迎宾大道合和新城正对面,花都,,建筑面积：323000㎡,15000
保利悦廷,[ 花都 区府 ] 风神大道以南，天马河西面,花都,,建筑面积：200000㎡,
碧桂园空港国际,[ 花都 新机场 ] 白云国际机场北空港大道左转500米,花都,1室/2室/3室,建筑面积：57-92㎡,9000
祈福辉煌台,[ 花都 区府 ] 107国道东侧、布心路北侧、金钟路西侧...,花都,2室/3室/4室/5室,建筑面积：84-220㎡,
名雅苑,[ 花都 新机场 ] 花山路40号,花都,3室,建筑面积：94-157.52㎡,
宝铼雅居,[ 花都 区府 ] 新华街迎宾大道南侧、平步大道西以东,花都,2室/3室,建筑面积：79.7-123.02㎡,
